problem|99.21.222.72|10/26/2015 8:35:58 AM|Jerry Jones|Test comment.
solution|99.21.222.72|10/26/2015 8:36:39 AM|Jerry J|Test comment on solutions page.
solution|99.21.222.72|10/26/2015 8:39:34 AM|Jerry|Another Test Comment
problem|24.55.7.232|11/03/2015 1:43:55 PM|bob|I can\&#39;t believe how awesome this works
problem|24.55.7.232|11/03/2015 3:54:50 PM|wefwe|efwefwe fwe fwef wef wef wef wef wef wef wef we fwe fwef we fwe fwe fwef wef wef we fwe fwe fwe fwe fwef wef wef wef we fw
solution|128.62.25.216|11/04/2015 5:08:37 AM|Bill|Ndkdkd djdksjd djdksjd djdksjd djdksjd djjd
solution|76.253.69.206|11/04/2015 8:41:11 AM|Cynthia|Great program!
problem|76.253.69.206|11/04/2015 11:08:39 AM|Cynthia |Sad
solution|76.253.69.206|11/04/2015 11:31:06 AM|cynthia|comment test

problem|174.57.103.84|11/18/2015 8:37:16 AM|Brandi|It is refreshing to see an article that acknowledges the fact that Americans are indeed having issues with the current economy. There is almost a taboo air about mentioning the financial struggles people are inevitably are facing in today\&#39;s times. There is nothing to be ashamed about, it just means we all have to get back up and move forward. There\&#39;s no other way to go.
solution|99.21.222.72|12/03/2015 10:17:00 AM|Test|Test on solution article by Jerry
solution|129.116.82.38|12/04/2015 7:33:58 AM|TEST|TEST TEST TEST 1
problem|24.55.7.232|12/04/2015 7:37:18 AM|test|test
solution|99.21.222.72|12/04/2015 10:27:56 AM|Test|TEST
problem|99.21.222.72|12/07/2015 2:57:36 AM|Jerry|Test Comment
problem|99.21.222.72|12/07/2015 4:27:35 AM|Jerry|Testing again!
solution|99.21.222.72|12/07/2015 4:30:10 AM|Jerry|Testing for Google Events.
solution|99.21.222.72|12/07/2015 5:02:33 AM|Jerry|Testing
solution|99.21.222.72|12/07/2015 5:05:30 AM|Jerry|TEsting
solution|99.21.222.72|12/07/2015 5:35:54 AM|Jerry|test
problem|99.21.222.72|12/07/2015 9:59:56 AM|Jerry|test
